"id","submitdate","lastpage","startlanguage","seed","token","startdate","datestamp","Qa[SQ001]","Qa[SQ002]","Qa[SQ003]","Qa[SQ004]","Q1[SQ001]","Q1[SQ002]","Q1[SQ003]","Q1[SQ004]","Q1[SQ005]","Q1[SQ006]","Q1[SQ007]","Q2[SQ001]","Q2[SQ002]","Q2[SQ003]","Q2[SQ004]","Q2[SQ005]","Q2[SQ006]","Q2[SQ007]","Q2[SQ008]","Q2[SQ009]","Q2a","Q2b","Q3[SQ001]","Q3[SQ002]","Q5[SQ001]","Q5[SQ002]","Q5[SQ003]","Q5[SQ004]","Q5[SQ005]","Q5[other]","Q6[SQ001]","Q6[SQ003]","Q6[SQ005]","Q6[SQ006]","Q6[SQ007]","Q6[SQ009]","Q6[SQ010]","Q6[SQ011]","Q6[SQ012]","Q6[SQ013]","Q6a","Q4[SQ003]","Q4[SQ004]","Q4[SQ005]","Q4[SQ006]","Q4[SQ007]","Q4[SQ013]","Q4[SQ008]","Q4[SQ009]","Q4[SQ010]","Q4[SQ011]","Q4[SQ012]","Q2c[SQ007]","Q2c[SQ008]","Q2c[SQ009]","Q2c[SQ010]","Q2c[SQ011]","Q2c[SQ012]","Q2c[SQ013]","Q2c[SQ014]","Q2c[SQ015]","Q2c[SQ016]","Q7[SQ001]","Q7[SQ002]","Q7[SQ003]","Q7[SQ004]","Q7[SQ005]","Q7[SQ006]","Q7[SQ007]","Q7[SQ008]","Q7[SQ009]","Q8[SQ001]","Q8[SQ003]","Q8[SQ004]","Q8[SQ005]","Q8[SQ006]","Q8[SQ007]","Q8[SQ008]","Q8[SQ009]","Q8[SQ010]","Q8[SQ011]","Q8[SQ012]","Q9","Q10","Q11[SQ001]","Q11[SQ002]","Q11[SQ003]","Q11[SQ004]","Q11[SQ005]","Q11[SQ006]","Q11[SQ007]","Q11[SQ008]","Q11[SQ009]","Q11[SQ010]","Q11[SQ011]","Q11[SQ012]","Q11[SQ013]","Q11[SQ014]","Q11[SQ015]","Q15","Q15[other]","Q13","Q13[other]","Q14","Q14[other]","Q16","Q16[other]","Q17","Q18","Q18[other]","Q19","Q19[other]","Q20","Q20[other]","Q26"
"52","","3","en","1886014456","iIsOiCEEusw7wbi","2021-03-17 18:44:47","2021-03-17 18:50:14","Yes","Yes","Yes","Yes","Agree","Agree","Neither agree or disagree","Disagree","Neither agree or disagree","Agree","Agree","Important","Important","Important","Unimportant","Neither important nor unimportant","Important","Very important","Important","Important","Reputation in the field","","Very aware","Neither aware nor unaware","No","No","No","Yes","No","","I don't know","I don't know","No","No","I don't know","I don't know","No","No","Yes","No","","Rarely","Always","Rarely","Never","Never","Never","Always","I don't know","Never","I don't know","I don't know","Very established","I don't know","Not established at all","Neither established nor unestablished","Neither established nor unestablished","I don't know","Not established at all","Unestablished","Very established","Very established","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53","","2","en","1607441718","sG5lBtryXQfhd7K","2021-03-17 18:44:57","2021-03-17 18:46:53","Yes","Yes","Yes","Yes","Agree","Agree","Neither agree or disagree","Neither agree or disagree","Neither agree or disagree","Neither agree or disagree","Agree","Very important","Very important","Important","Very important","Important","Unimportant","Important","Important","Important","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55","","","en","2088399150","XMJNtQkIOiszAO0","2021-03-17 18:46:35","2021-03-17 18:46:35","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56","","1","en","921991088","1ZaiEpSqaeGZJFR","2021-03-17 18:47:27","2021-03-17 18:47:38","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58","","2","en","1660901552","fjJvOij7EoTMLXv","2021-03-17 18:47:55","2021-03-17 18:55:53","Yes","Yes","Yes","Yes","Completely disagree","I don't know","Disagree","Completely disagree","Completely disagree","I don't know","I don't know","Completely unimportant","Completely unimportant","Completely unimportant","Completely unimportant","Completely unimportant","Completely unimportant","Completely unimportant","Completely unimportant","Completely unimportant","Nepotism and cronyism. Productivity counts for very little in obtaining permanent posts at my institution.","There should be a means of acknowledging when a a researcher isa research project lead, though they may not be named P.I.","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61","","1","en","575396830","Ytlg1nmwaQhakhz","2021-03-17 18:48:43","2021-03-17 18:49:36","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63","","2","en","1904283161","akMuwcs9A9I2TaR","2021-03-17 18:51:28","2021-03-17 18:53:24","Yes","Yes","Yes","Yes","Agree","I don't know","I don't know","Agree","Agree","Agree","Disagree","Neither important nor unimportant","Important","Important","Unimportant","Unimportant","Important","Very important","Very important","Important","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66","","","en","1443748702","5jEohKEgAHOpHuo","2021-03-17 18:53:26","2021-03-17 18:53:26","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67","","","en","1944729254","vCNHGNni0uKRehh","2021-03-17 18:53:47","2021-03-17 18:53:47","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69","","","en","183065246","7wYNjUzbjNxC7Oo","2021-03-17 18:55:44","2021-03-17 18:55:44","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
